"Species","variable","value.Barbilla","value.Cola","value.Corona","value.Esp_Inf","value.Esp_Med","value.Esp_Sup","value.Frente","value.Garganta","value.Hombro","value.Nuca","value.Panza","value.Parche_Malar","value.Pecho","value.Peso","Peso_log2"
"Euphonia laniirostris ","VIS",8.741423828125,5.4768359375,11.3018359375,7.12955078125,3.45712890625,4.2855078125,16.0405451171875,15.42248046875,0.133599822265625,1.339599609375,30.21068359375,0.07690937890625,12.1404921875,11,3.4594316186373
"Euphonia laniirostris ","NIR",14.4344632768362,9.03815442561205,20.9689265536723,11.1971751412429,4.97777777777778,7.35546139359699,30.2173258003766,25.5845574387947,0.381074783427495,2.39875706214689,49.1824858757062,0.453368248587571,22.2286252354049,11,3.4594316186373
"Formicivora grisea","UV",1.28169410714286,3.46869047619048,0.588906369047619,3.66702380952381,0.957677380952381,6.05839285714286,0.870553511904762,0.642943452380952,0.450200714285714,3.35184523809524,2.0168869047619,0.751584523809524,0.543037738095238,8,3
"Formicivora grisea","VIS",1.39536328125,4.33857421875,0.8222366796875,4.37228515625,1.7429076171875,6.3276953125,1.41473689453125,0.839101953125,0.52630744140625,3.7301953125,2.27795703125,0.77885416015625,0.573762376953125,8,3
"Formicivora grisea","NIR",3.28839924670433,8.75864406779661,3.287065913371,8.06877589453861,6.3080790960452,10.1308662900188,4.03062146892655,2.17300376647834,1.50299774011299,6.95047080979284,5.37122410546139,1.67968512241055,1.70859811676083,8,3
"Forpus conspicillatus","UV",3.66636904761905,5.57184523809524,1.49304761904762,3.69166666666667,6.49321428571429,5.32452380952381,2.43342857142857,11.1943452380952,5.43744047619048,7.27970238095238,16.2928571428571,3.23208333333333,10.2525,27,4.75488750216347
"Forpus conspicillatus","VIS",10.414548828125,7.974609375,2.805767578125,5.27048828125,7.6237890625,6.35439453125,5.822888671875,15.33203125,6.45751953125,9.95470703125,22.339453125,4.52021484375,16.39189453125,27,4.75488750216347
"Forpus conspicillatus","NIR",15.4250470809793,9.77269303201507,3.58293785310734,7.93581920903955,10.6712806026365,10.0325235404896,9.83651600753296,22.2935969868173,9.94214689265537,16.9114877589454,25.0824858757062,6.04521657250471,20.784934086629,27,4.75488750216347
"Glaucis hirsutus","UV",0.231781398809524,2.99083333333333,0.12681625,4.76541666666667,2.69291666666667,1.56617857142857,1.51357142857143,4.08357142857143,1.12286744047619,3.09589285714286,6.29392857142857,3.02470238095238,2.67810714285714,6,2.58496250072116
"Glaucis hirsutus","VIS",3.0679830078125,5.650333984375,0.31470181640625,8.24921875,4.973728515625,2.447794921875,2.386927734375,9.628671875,1.317048828125,6.388515625,11.1219140625,6.5523666015625,7.50025390625,6,2.58496250072116
"Glaucis hirsutus","NIR",9.445065913371,11.2867231638418,1.82115442561205,14.165197740113,7.91928436911488,4.67860640301318,7.18975517890772,22.0286252354049,3.78444444444444,8.80745762711864,17.3636534839925,14.1195668549906,15.6065913370998,6,2.58496250072116
"Glyphorynchus spirurus","UV",4.6725,5.53315476190476,2.2266994047619,1.25348958333333,1.44141071428571,9.05946428571429,2.86400595238095,3.80582738095238,5.24345238095238,3.82333333333333,5.55577380952381,1.04472607142857,1.52158452380952,14,3.8073549220576
"Glyphorynchus spirurus","VIS",6.97302734375,7.67396484375,3.044888671875,2.76224142578125,1.9972685546875,7.61048828125,2.558515625,3.383287109375,6.0644140625,2.685830078125,4.98794921875,1.0508520703125,2.907324609375,14,3.8073549220576
"Glyphorynchus spirurus","NIR",11.20934086629,21.635593220339,7.98947269303202,10.2444821092279,5.78290018832392,10.4980979284369,5.2161581920904,5.24337099811676,13.7168173258004,3.79446516007533,8.21591337099812,3.66037288135593,7.41971751412429,14,3.8073549220576
